OBJECTID,XGCSWGS84,YGCSWGS84,UKATEGORIE
99384,11.56791329,48.112585089,1
100885,11.540766397,48.202369375,1
100890,11.540491054,48.093356630000095,1
208738,11.5655312960001,48.138896141,1
211954,11.603003615,48.145940577,1
213248,11.5111008820001,48.161728908,1
213899,11.474501038,48.170791224,1
215703,11.5261911440001,48.131870237,1
218023,11.5363568280001,48.116911101,1
221208,11.562269836,48.1868729280001,1
221532,11.4720551930001,48.16535406,1
224319,11.5691095350001,48.140935247000094,1
225141,11.5356165430001,48.152098147000096,1
226841,11.6604150470001,48.133194325,1
228356,11.484619325,48.1193665530001,1
